Player, Num Table Cards, Captured Cards, Δ Captured Cards, Δ Score
P1, 0, 4, 4, 2
P2, 0, 2, 2, 2
P1, 4, 13, 9, 2
P2, 4, 4, 2, 0
P1, 3, 15, 2, 2
P2, 3, 13, 9, 2
P1, 2, 18, 3, 0
P2, 2, 20, 7, 2
P1, 0, 6, 6, 4
P2, 0, 3, 3, 2
P1, 1, 8, 2, 2
P2, 1, 9, 6, 4
P1, 3, 10, 2, 2
P2, 3, 17, 8, 6
P1, 3, 10, 0, 0
P2, 3, 28, 11, 4
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 3, 3, 4
P2, 0, 4, 4, 4
P1, 3, 11, 8, 4
P2, 3, 8, 4, 2
P1, 1, 17, 6, 0
P2, 1, 12, 4, 0
P1, 1, 21, 4, 4
P2, 1, 16, 4, 2
P1, 0, 3, 3, 2
P2, 0, 0, 0, 0
P1, 7, 14, 11, 0
P2, 7, 2, 2, 2
P1, 4, 18, 4, 0
P2, 4, 10, 8, 8
P1, 2, 20, 2, 0
P2, 2, 14, 4, 2
P1, 0, 4, 4, 0
P2, 0, 3, 3, 0
P1, 3, 10, 6, 2
P2, 3, 8, 5, 0
P1, 2, 17, 7, 6
P2, 2, 10, 2, 2
P1, 3, 20, 3, 0
P2, 3, 19, 9, 6
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 2, 2, 2
P2, 0, 2, 2, 2
P1, 6, 11, 9, 4
P2, 6, 6, 4, 0
P1, 3, 15, 4, 0
P2, 3, 9, 3, 2
P1, 6, 23, 8, 2
P2, 6, 14, 5, 0
P1, 0, 0, 0, 0
P2, 0, 4, 4, 6
P1, 6, 5, 5, 0
P2, 6, 8, 4, 0
P1, 7, 11, 6, 0
P2, 7, 14, 6, 2
P1, 5, 13, 2, 0
P2, 5, 22, 8, 0
P1, 0, 3, 3, 0
P2, 0, 6, 6, 4
P1, 1, 5, 2, 2
P2, 1, 10, 4, 2
P1, 5, 10, 5, 0
P2, 5, 16, 6, 2
P1, 4, 16, 6, 0
P2, 4, 21, 5, 0
P1, 0, 5, 5, 6
P2, 0, 2, 2, 2
P1, 3, 10, 5, 2
P2, 3, 8, 6, 2
P1, 2, 10, 0, 0
P2, 2, 12, 4, 2
P1, 0, 2, 2, 0
P2, 0, 6, 6, 6
P1, 2, 4, 2, 2
P2, 2, 11, 5, 2
P1, 5, 10, 6, 0
P2, 5, 17, 6, 0
P1, 3, 12, 2, 0
P2, 3, 24, 7, 2
P1, 0, 2, 2, 0
P2, 0, 2, 2, 2
P1, 6, 9, 7, 2
P2, 6, 8, 6, 2
P1, 3, 12, 3, 2
P2, 3, 13, 5, 0
P1, 5, 17, 5, 0
P2, 5, 17, 4, 2
P1, 0, 5, 5, 0
P2, 0, 2, 2, 4
P1, 3, 10, 5, 0
P2, 3, 4, 2, 0
P1, 6, 18, 8, 2
P2, 6, 11, 7, 0
P1, 1, 18, 0, 0
P2, 1, 17, 6, 4
P1, 0, 0, 0, 0
P2, 0, 8, 8, 2
P1, 2, 0, 0, 0
P2, 2, 16, 8, 0
P1, 4, 5, 5, 0
P2, 4, 20, 4, 2
P1, 5, 7, 2, 0
P2, 5, 27, 7, 2
P1, 0, 4, 4, 2
P2, 0, 3, 3, 2
P1, 3, 8, 4, 2
P2, 3, 8, 5, 0
P1, 4, 12, 4, 2
P2, 4, 17, 9, 6
P1, 1, 14, 2, 2
P2, 1, 23, 6, 4
P1, 0, 2, 2, 0
P2, 0, 2, 2, 2
P1, 6, 8, 6, 0
P2, 6, 7, 5, 4
P1, 5, 12, 4, 0
P2, 5, 15, 8, 2
P1, 3, 15, 3, 2
P2, 3, 21, 6, 4
P1, 0, 2, 2, 0
P2, 0, 3, 3, 2
P1, 0, 4, 4, 0
P2, 0, 3, 3, 0
P1, 3, 8, 4, 0
P2, 3, 11, 8, 0
P1, 1, 10, 2, 2
P2, 1, 19, 8, 6
P1, 1, 10, 0, 0
P2, 1, 27, 8, 6
P1, 0, 2, 2, 2
P2, 0, 7, 7, 2
P1, 1, 6, 4, 2
P2, 1, 12, 5, 2
P1, 2, 11, 5, 0
P2, 2, 16, 4, 6
P1, 3, 14, 3, 0
P2, 3, 24, 8, 0
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 6, 6, 0
P2, 0, 2, 2, 0
P1, 2, 13, 7, 6
P2, 2, 4, 2, 2
P1, 3, 17, 4, 2
P2, 3, 9, 5, 0
P1, 4, 23, 6, 0
P2, 4, 16, 7, 0
P1, 0, 4, 4, 2
P2, 0, 3, 3, 0
P1, 3, 6, 2, 0
P2, 3, 9, 6, 2
P1, 5, 9, 3, 0
P2, 5, 16, 7, 4
P1, 5, 13, 4, 0
P2, 5, 26, 10, 4
P1, 0, 5, 5, 0
P2, 0, 2, 2, 2
P1, 3, 7, 2, 0
P2, 3, 10, 8, 4
P1, 3, 11, 4, 0
P2, 3, 15, 5, 2
P1, 4, 17, 6, 2
P2, 4, 21, 6, 2
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 4, 4, 6
P2, 0, 3, 3, 0
P1, 3, 10, 6, 2
P2, 3, 5, 2, 0
P1, 5, 15, 5, 0
P2, 5, 9, 4, 2
P1, 6, 22, 7, 0
P2, 6, 18, 9, 6
P1, 0, 2, 2, 2
P2, 0, 2, 2, 4
P1, 6, 11, 9, 4
P2, 6, 6, 4, 2
P1, 3, 16, 5, 2
P2, 3, 13, 7, 0
P1, 1, 20, 4, 4
P2, 1, 15, 2, 0
P1, 0, 7, 7, 2
P2, 0, 0, 0, 0
P1, 3, 11, 4, 0
P2, 3, 5, 5, 6
P1, 4, 18, 7, 4
P2, 4, 9, 4, 2
P1, 0, 0, 0, 0
P2, 0, 5, 5, 0
P1, 5, 13, 13, 6
P2, 5, 5, 0, 0
P1, 2, 13, 0, 0
P2, 2, 17, 12, 8
P1, 0, 13, 0, 0
P2, 0, 24, 7, 6
P1, 0, 0, 0, 0
P2, 0, 7, 7, 2
P1, 3, 2, 2, 0
P2, 3, 18, 11, 4
P1, 0, 2, 0, 0
P2, 0, 23, 5, 2
P1, 5, 10, 8, 2
P2, 5, 30, 7, 4
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 4, 4, 2
P2, 0, 2, 2, 4
P1, 4, 9, 5, 0
P2, 4, 8, 6, 4
P1, 3, 11, 2, 0
P2, 3, 18, 10, 0
P1, 1, 16, 5, 4
P2, 1, 21, 3, 4
P1, 0, 3, 3, 2
P2, 0, 4, 4, 8
P1, 3, 3, 0, 0
P2, 3, 13, 9, 4
P1, 4, 5, 2, 0
P2, 4, 22, 9, 2
P1, 3, 13, 8, 2
P2, 3, 24, 2, 2
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 4, 4, 2
P2, 0, 0, 0, 0
P1, 6, 7, 3, 0
P2, 6, 10, 10, 2
P1, 3, 9, 2, 0
P2, 3, 15, 5, 2
P1, 6, 16, 7, 0
P2, 6, 21, 6, 6
P1, 0, 0, 0, 0
P2, 0, 6, 6, 6
P1, 4, 4, 4, 0
P2, 4, 11, 5, 0
P1, 5, 10, 6, 0
P2, 5, 18, 7, 2
P1, 2, 10, 0, 0
P2, 2, 26, 8, 4
P1, 0, 0, 0, 0
P2, 0, 0, 0, 0
P1, 0, 0, 0, 0
P2, 0, 4, 4, 4
P1, 6, 4, 4, 0
